,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
129,Bandarbeyla,56,SO,1569425032,51,9.49,50.81,28.47,10.32
130,Isangel,82,VU,1569425033,74,-19.55,169.27,22.57,7.18
131,Shache,0,CN,1569425034,54,38.42,77.24,23.33,0.45
132,Camocim,47,BR,1569425036,30,-2.9,-40.84,36.87,3.15
133,Sola,100,TZ,1569425037,33,-3.17,33.8,29.27,2.39
134,Deputatskiy,28,RU,1569425039,95,69.3,139.9,-8.43,1.5
135,Pontarlier,75,CH,1569425040,76,46.9,6.35,18.0,5.7
136,Barcelos,83,BR,1569425021,49,-0.97,-62.93,33.87,1.41
137,Beringovskiy,0,RU,1569424986,84,63.05,179.32,-2.13,0.47
138,Hirado,40,JP,1569425044,78,33.32,129.49,23.0,3.1
139,Saskylakh,0,RU,1569424820,91,71.97,114.09,1.07,4.28
140,Vardo,1,US,1569425046,52,39.62,-77.74,24.44,1.5
141,Seoul,1,KR,1569424906,106,37.57,126.98,19.0,0.5
142,Makakilo City,90,US,1569425048,100,21.35,-158.09,26.0,4.68
143,Hobart,55,AU,1569424801,66,-42.88,147.33,10.0,4.6
144,Longyearbyen,75,NO,1569425050,100,78.22,15.63,3.0,1.0
145,Ribeira Grande,75,PT,1569425052,73,38.52,-28.7,24.0,4.1
146,Livingstonia,2,MW,1569424869,48,-10.61,34.11,19.87,3.92
147,Balkanabat,0,TM,1569425054,23,39.51,54.36,28.07,3.68
148,Talnakh,75,RU,1569425055,93,69.49,88.39,3.0,7.0
149,Sao Joao da Barra,90,BR,1569425058,64,-21.64,-41.05,23.0,4.1
150,Doha,0,QA,1569424805,59,25.29,51.53,34.0,4.6
151,Sucha Beskidzka,75,PL,1569425060,77,49.74,19.59,17.78,2.6
152,Plettenberg Bay,0,ZA,1569425052,29,-34.05,23.37,23.27,4.51
153,Hofn,90,IS,1569425062,93,64.25,-15.21,12.0,4.1
154,Mabai,94,CN,1569425064,89,23.01,104.4,15.77,2.78
155,Hithadhoo,100,MV,1569424868,71,-0.6,73.08,28.17,7.12
156,Singleton,99,AU,1569425066,93,-32.57,151.17,16.11,0.94
157,Alofi,100,NU,1569425067,93,-19.06,-169.92,19.0,1.5
158,Soyo,23,AO,1569425068,88,-6.13,12.37,24.27,5.47
159,Kuntaur,62,GM,1569425069,56,13.67,-14.89,33.47,2.99
160,Fort Dodge,90,US,1569425071,77,42.5,-94.17,18.33,3.1
161,Grand Gaube,75,MU,1569425072,94,-20.01,57.66,23.33,3.1
162,Ribeira Brava,75,PT,1569425073,78,32.65,-17.07,23.89,5.7
163,Sisimiut,0,GL,1569425074,74,66.94,-53.67,5.07,5.64
164,Vila Franca do Campo,40,PT,1569425076,69,37.72,-25.43,23.0,6.2
165,Dicabisagan,59,PH,1569425077,93,17.08,122.42,22.77,0.61
166,Saint-Francois,90,FR,1569425078,59,46.42,3.91,19.0,3.6
167,Saint-Georges,65,CA,1569425080,86,46.12,-70.67,11.67,2.13
168,Fuxin,0,CN,1569425082,71,42.02,121.65,14.97,2.1
169,Flin Flon,75,CA,1569425084,61,54.77,-101.88,8.0,5.7
170,Dikson,86,RU,1569425085,96,73.51,80.55,1.97,4.71
171,Saldanha,100,PT,1569425086,38,41.42,-6.55,22.57,3.38
172,Bayan,0,CN,1569425087,66,36.1,102.26,8.67,0.63
173,Tiksi,22,RU,1569425088,82,71.64,128.87,0.47,4.35
174,Kahului,1,US,1569424956,73,20.89,-156.47,23.33,2.6
175,Vostok,0,RU,1569425090,77,46.45,135.83,4.17,1.68
176,Los Llanos de Aridane,40,ES,1569425092,65,28.66,-17.92,26.0,7.2
177,Broken Hill,92,AU,1569425093,37,-31.97,141.45,13.0,4.6
178,Mayo,90,CA,1569425094,80,63.59,-135.9,4.0,1.0
179,Waipawa,0,NZ,1569425095,75,-39.94,176.59,6.11,8.05
180,Keetmanshoop,0,NA,1569425096,11,-26.57,18.15,31.0,6.7
181,Kawalu,100,ID,1569425099,89,-7.38,108.21,19.17,1.53
182,Noumea,0,NC,1569425100,82,-22.28,166.46,23.33,1.0
183,Poum,20,MK,1569425101,46,41.28,20.71,22.0,4.1
184,Aklavik,40,CA,1569425103,100,68.22,-135.01,2.0,1.84
185,Dingle,22,PH,1569425105,82,11.0,122.67,24.07,2.01
186,Tonstad,75,NO,1569425106,55,58.66,6.71,16.0,3.6
187,Bafra,75,TR,1569425108,88,41.57,35.91,19.0,1.0
188,Ponta do Sol,73,BR,1569425014,47,-20.63,-46.0,24.67,3.84
189,Erzin,0,TR,1569425111,65,36.95,36.2,28.0,7.7
190,Namatanai,43,PG,1569425112,83,-3.66,152.44,25.67,3.92
191,Mundo Nuevo,90,CL,1569425113,93,-32.72,-71.41,10.0,4.6
192,Tecoanapa,75,MX,1569425114,78,16.99,-99.26,28.0,1.5
193,Sadove,0,UA,1569425116,55,46.25,30.18,18.0,4.0
194,Robertsport,86,LR,1569425117,83,6.75,-11.37,27.07,4.0
195,Merke,0,KZ,1569425118,36,42.87,73.19,20.17,1.19
196,San Cristobal,99,HN,1569425119,71,14.68,-86.92,26.17,0.54
197,Agutaya,54,PH,1569425120,75,11.15,120.94,29.17,6.73
198,Limoeiro do Ajuru,8,BR,1569425122,42,-1.9,-49.38,34.97,2.67
199,Canutama,33,BR,1569425123,34,-6.53,-64.38,37.37,1.17
200,Cockburn Town,100,TC,1569425124,69,21.46,-71.14,28.77,3.25
201,East London,0,ZA,1569425125,55,-33.02,27.91,17.0,7.7
202,Nikolskoye,90,RU,1569425009,87,59.7,30.79,7.22,2.0
203,Faanui,87,PF,1569425128,76,-16.48,-151.75,25.97,7.76
204,Mahebourg,75,MU,1569425130,94,-20.41,57.7,23.33,3.1
205,Narsaq,20,GL,1569425076,46,60.91,-46.05,10.0,2.1
206,Aljezur,0,PT,1569424945,72,37.31,-8.8,27.22,1.79
207,Kabalo,100,CD,1569425133,45,-6.05,26.92,31.57,2.0
208,Lazaro Cardenas,20,MX,1569425134,82,28.39,-105.62,22.78,2.6
209,Save,100,BJ,1569425136,78,8.04,2.49,28.77,1.9
210,Shrewsbury,1,US,1569425052,49,39.77,-76.68,25.0,3.1
211,Sambava,0,MG,1569425057,77,-14.27,50.17,19.97,0.88
212,Celestun,100,MX,1569424870,79,20.87,-90.4,28.37,4.1
213,Geraldton,90,CA,1569425076,100,49.72,-86.95,11.0,3.1
214,Monrovia,75,LR,1569425144,79,6.33,-10.8,29.0,6.2
215,Yellowknife,90,CA,1569425145,93,62.45,-114.38,3.0,5.1
216,Puruaran,90,MX,1569425146,82,19.1,-101.53,19.0,0.26
217,Luganville,75,VU,1569425147,73,-15.51,167.18,25.0,5.1
218,Port Moresby,75,PG,1569424940,88,-9.47,147.16,25.0,5.1
219,Morondava,0,MG,1569425150,78,-20.3,44.28,23.87,14.61
220,Slave Lake,90,CA,1569425151,81,55.28,-114.77,9.0,8.7
221,Tignere,99,CM,1569425152,81,7.37,12.65,25.77,2.05
222,Torbay,90,CA,1569424854,100,47.66,-52.73,10.0,7.7
223,Klaksvik,75,FO,1569425155,100,62.23,-6.59,11.0,12.3
224,Pangnirtung,75,CA,1569425010,93,66.15,-65.72,4.0,1.0
225,Ous,97,RU,1569425158,79,60.91,61.52,1.47,4.36
226,Pouebo,95,NC,1569425159,90,-20.4,164.57,15.77,1.9
227,Ilulissat,75,GL,1569425160,80,69.22,-51.1,4.0,1.0
228,Sajkas,20,RS,1569425161,64,45.27,20.09,23.33,1.5
229,Severo-Kurilsk,94,RU,1569425163,88,50.68,156.12,7.37,15.61
230,Black River,20,JM,1569425164,70,18.03,-77.85,31.0,3.1
231,Ikornnes,0,NO,1569425165,76,62.39,6.56,14.0,1.5
232,Komsomolskiy,100,RU,1569425166,97,67.55,63.78,0.57,4.15
233,Mana,0,NG,1569425168,24,13.03,5.27,37.47,0.14
234,Mehamn,90,NO,1569425169,100,71.03,27.85,8.0,5.1
235,Santa Cruz,32,BR,1569425170,27,-6.22,-36.02,33.47,5.63
236,Lambarene,97,GA,1569425171,64,-0.7,10.22,28.77,2.83
237,Namibe,0,AO,1569425173,88,-15.19,12.15,21.37,4.24
238,Dalbandin,0,PK,1569425174,22,28.9,64.41,29.87,2.68
239,Kysyl-Syr,91,RU,1569425175,86,63.9,122.77,5.37,2.05
240,Bundaberg,40,AU,1569425176,88,-24.87,152.35,19.44,2.1
241,Uribia,100,CO,1569425177,59,11.71,-72.27,31.67,0.86
242,Pevek,95,RU,1569425178,81,69.7,170.27,1.17,5.56
243,Haines Junction,100,CA,1569425180,95,60.75,-137.51,0.67,2.14
244,Baraboo,1,US,1569425181,68,43.47,-89.74,22.22,4.6
245,Bathsheba,40,BB,1569425182,70,13.22,-59.52,31.0,5.7
246,Russell,90,US,1569425183,88,38.9,-98.86,20.56,5.1
247,Sol-Iletsk,47,RU,1569425187,55,51.16,55.0,6.67,2.79
248,Gornopravdinsk,99,RU,1569425188,68,60.06,69.92,2.37,3.98
249,Hami,0,CN,1569425192,13,42.84,93.51,23.37,2.37
250,Saint George,20,GR,1569425099,54,39.45,22.34,26.0,4.1
251,Solnechnyy,0,RU,1569425194,65,50.72,136.64,2.97,1.91
252,Narayangarh,100,IN,1569425195,91,24.28,75.06,24.27,3.55
253,San Roque,0,ES,1569425198,42,36.21,-5.38,31.0,7.2
254,Havelock,1,US,1569425204,47,34.88,-76.9,28.33,2.6
255,Yenagoa,100,NG,1569425205,83,4.92,6.26,26.87,4.14
256,High Level,20,CA,1569425207,86,58.52,-117.13,4.0,2.6
257,Sahuaripa,60,MX,1569425208,90,29.05,-109.23,22.27,1.1
258,Dakar,20,SN,1569425196,70,14.69,-17.45,31.0,4.1
259,Blythe,1,US,1569425210,47,33.61,-114.59,27.22,0.22
260,Touros,40,BR,1569425095,55,-5.2,-35.46,30.0,7.7
261,Khatanga,100,RU,1569425212,84,71.98,102.47,0.77,5.45
262,Lata,100,IN,1569425214,87,30.78,78.62,6.97,0.46
263,Batagay,100,RU,1569425216,74,67.65,134.64,1.37,1.3
264,Alice Springs,0,AU,1569425012,82,-23.7,133.88,14.0,3.6
265,Matara,75,BI,1569425219,51,-3.48,29.48,30.0,15.4
266,Harper,90,US,1569425220,74,30.3,-99.24,28.0,6.15
267,Omboue,63,GA,1569425222,85,-1.57,9.26,24.97,6.87
268,Shiringushi,73,RU,1569425223,81,53.85,42.77,3.67,1.12
269,Bambous Virieux,75,MU,1569425224,94,-20.34,57.76,23.33,3.1
270,Poshekhonye,22,RU,1569425225,71,58.5,39.12,3.77,2.27
271,Varnavino,98,RU,1569425227,89,61.19,46.56,1.97,3.45
272,Eyl,63,SO,1569425231,61,7.98,49.82,26.37,11.58
273,East Haven,20,US,1569425210,49,41.28,-72.87,22.22,2.6
274,Devonport,2,AU,1569425233,68,-41.18,146.36,7.78,1.83
275,Rodez,75,FR,1569425235,72,44.35,2.57,21.11,5.1
276,Ko Samui,20,TH,1569425003,83,9.54,99.94,29.0,4.66
277,Cap Malheureux,75,MU,1569425240,94,-19.98,57.61,23.33,3.1
278,Chippewa Falls,1,US,1569425188,62,44.94,-91.39,17.22,4.6
279,Yar-Sale,93,RU,1569425242,82,66.83,70.83,2.47,6.18
280,Sabancuy,0,MX,1569425244,72,18.97,-91.18,28.67,3.52
281,Ankazobe,75,MG,1569425245,38,-18.32,47.12,24.0,3.1
282,Moose Factory,90,CA,1569425032,87,51.26,-80.61,13.0,6.2
283,Hokitika,0,NZ,1569425249,66,-42.72,170.96,5.77,9.85
284,Marck,99,FR,1569425251,88,50.95,1.95,18.33,8.2
285,Oussouye,40,SN,1569425253,59,12.49,-16.54,33.0,1.0
286,Saqqez,0,IR,1569425254,17,36.24,46.27,20.77,7.29
287,Antofagasta,90,CL,1569425255,77,-23.65,-70.4,15.0,1.5
288,Kodiak,1,US,1569425256,68,39.95,-94.76,23.33,3.1
289,Boquete,40,PA,1569425258,83,8.78,-82.43,26.0,0.5
290,Carauari,47,BR,1569425259,42,-4.88,-66.9,34.47,1.77
291,Akalkot,86,IN,1569425260,86,17.53,76.22,24.57,1.94
292,Chotebor,40,CZ,1569425262,63,49.72,15.67,19.0,7.7
293,Emilio Carranza,36,MX,1569425263,69,19.97,-96.61,27.97,0.65
294,Itarema,89,BR,1569425265,34,-2.92,-39.92,34.97,6.28
295,Raymondville,75,US,1569425266,78,37.34,-91.83,25.56,4.1
296,Staryy Krym,100,UA,1569425268,55,45.03,35.1,12.27,2.92
297,Pangody,100,RU,1569425269,91,65.85,74.49,1.67,8.67
298,Itoman,75,JP,1569425270,78,26.12,127.67,26.0,5.1
299,Almaznyy,0,RU,1569425271,35,48.03,40.04,14.0,5.0
300,Bud,0,NO,1569425002,67,62.91,6.91,14.0,2.6
301,Kropotkin,100,RU,1569425274,50,45.43,40.58,15.56,6.11
302,Bongandanga,99,CD,1569425275,94,1.51,21.07,24.97,1.8
303,Evensk,100,RU,1569425279,80,61.92,159.24,0.27,8.6
304,Rio Gallegos,40,AR,1569425026,46,-51.62,-69.22,12.0,17.0
305,Najran,40,SA,1569425285,14,17.54,44.22,33.0,5.1
306,Ostrovnoy,100,RU,1569425286,91,68.05,39.51,2.77,6.89
307,Guapiacu,90,BR,1569425287,94,-20.8,-49.22,21.0,1.5
308,Pontianak,40,ID,1569425290,94,-0.02,109.34,26.0,3.46
309,Barcelona,20,ES,1569425295,69,41.38,2.18,25.0,4.1
310,Cabimas,69,VE,1569425299,73,10.39,-71.44,28.77,1.85
311,Mananum,21,PH,1569425300,83,8.83,124.95,26.67,1.79
312,Yagodnoye,64,RU,1569425302,67,62.52,149.63,-6.03,1.7
313,Rafaela,0,AR,1569425303,17,-31.25,-61.49,28.33,0.89
314,Talara,0,PE,1569425304,290,-4.58,-81.27,17.0,5.1
315,Pedernales,100,EC,1569425305,89,0.07,-80.05,22.47,7.5
316,Bassano,36,CA,1569425306,73,50.79,-112.47,7.78,3.44
317,Surt,0,LY,1569425308,69,31.21,16.59,25.97,3.96
318,Nefteyugansk,0,RU,1569425309,55,61.09,72.61,4.0,4.0
319,Anadyr,0,RU,1569425310,69,64.73,177.51,3.0,1.0
320,Lingao,0,CN,1569425312,67,19.91,109.69,26.67,4.62
321,Atasu,0,KZ,1569425313,35,48.68,71.64,9.37,1.84
322,Mao,75,DO,1569425032,88,19.55,-71.08,31.0,3.1
323,Xuddur,0,SO,1569425319,26,4.12,43.89,32.67,5.63
324,Miri,12,NG,1569425322,31,10.31,9.75,34.07,3.86
325,Tezu,8,IN,1569425323,82,27.93,96.16,21.07,1.23
326,Bethel,90,US,1569425326,93,60.79,-161.76,4.0,9.3
327,Camacha,40,PT,1569425330,73,33.08,-16.33,23.0,5.7
328,Dunedin,66,NZ,1569425161,68,-45.87,170.5,3.89,9.83
329,Along,84,IN,1569425333,99,28.17,94.8,13.77,0.48
330,Tiznit,0,MA,1569425334,81,29.7,-9.73,21.37,1.94
331,Kieta,94,PG,1569425335,81,-6.22,155.63,26.47,2.19
332,Borogontsy,0,RU,1569425337,95,62.67,131.17,-0.43,2.11
333,Forest,1,US,1569425338,61,32.36,-89.47,29.0,2.6
334,Pacific Grove,1,US,1569425339,45,36.62,-121.92,22.22,3.1
335,Kupang,0,ID,1569425340,80,-10.16,123.6,25.47,7.14
336,Waddan,0,LY,1569425341,19,29.16,16.14,37.07,4.79
337,Salinopolis,4,BR,1569425343,84,-0.61,-47.36,26.57,6.01
338,Nanortalik,0,GL,1569425344,72,60.14,-45.24,6.87,1.74
339,Lubao,100,CD,1569425345,62,-5.39,25.75,27.67,1.04
340,Seabra,75,BR,1569425346,54,-12.42,-41.77,26.0,2.6
341,Gwadar,0,PK,1569425347,82,25.12,62.33,28.87,7.2
342,Ambilobe,66,MG,1569425349,69,-13.19,49.05,25.47,2.16
343,Rawson,33,AR,1569425350,33,-43.3,-65.11,20.37,9.99
344,Sioux Lookout,20,CA,1569425324,81,50.1,-91.92,12.0,2.6
345,Kavaratti,100,IN,1569425352,73,10.57,72.64,27.97,4.23
346,Galveston,75,US,1569425354,56,40.58,-86.19,23.33,6.7
347,Chara,20,GR,1569425355,54,39.42,22.43,26.0,4.1
348,Brownsville,20,US,1569425298,70,25.91,-97.49,31.67,4.6
349,Astana,0,KZ,1569425357,42,51.13,71.43,8.0,2.0
350,Andreapol,100,RU,1569425358,86,56.65,32.27,5.17,1.21
351,Jalu,0,LY,1569425276,24,29.03,21.55,36.07,7.68
352,Hambantota,90,LK,1569425360,100,6.12,81.12,24.0,1.0
353,Te Anau,72,NZ,1569425362,71,-45.41,167.72,1.97,4.55
354,Meulaboh,100,ID,1569425363,75,4.14,96.13,27.67,2.28
355,Aksarka,100,RU,1569425364,90,66.56,67.8,1.27,7.14
356,Oros,20,HU,1569425365,100,47.95,21.8,16.0,2.1
357,Filingue,23,NE,1569425366,11,14.35,3.32,39.97,1.93
358,Dunkirk,100,FR,1569425367,88,51.03,2.38,17.22,8.2
359,Xique-Xique,15,BR,1569425369,50,-10.82,-42.73,25.67,2.21
360,Windhoek,0,NA,1569425370,5,-22.57,17.08,29.0,4.6
361,Perm,0,RU,1569425371,90,58.02,56.25,2.0,4.0
362,Victoria,75,BN,1569425096,79,5.28,115.24,30.0,3.1
363,Tura,85,RU,1569425374,85,64.27,100.22,-0.43,2.59
364,Tamandare,74,BR,1569425375,41,-8.28,-70.75,33.57,1.3
365,Abu Kamal,0,SY,1569425376,15,34.45,40.92,30.97,2.02
366,Bay-Khaak,100,RU,1569425377,85,51.16,94.47,10.87,1.67
367,Beaverlodge,75,CA,1569425380,87,55.21,-119.43,6.0,2.6
368,Deogarh,100,IN,1569425381,97,21.53,84.72,21.97,2.72
369,Borazjan,20,IR,1569425382,66,29.27,51.21,33.0,5.1
370,Kununurra,0,AU,1569425383,56,-15.77,128.74,21.0,0.5
371,Codrington,90,AU,1569425384,77,-28.95,153.24,19.0,1.5
372,Umm Kaddadah,0,SD,1569425386,14,13.6,26.69,37.77,5.36
373,Voineasa,40,RO,1569425387,48,45.42,23.96,18.0,4.1
374,Ust-Nera,0,RU,1569425388,69,64.57,143.24,-6.23,2.11
375,Tommot,97,RU,1569425389,97,58.97,126.27,3.27,1.58
